# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: slimfly100.cscs.ch
# Release : 3.10.0-1160.15.2.el7.x86_64
# Version : #1 SMP Wed Feb 3 15:06:38 UTC 2021
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 10.934632 
# Number of iterations (recorded+unrecorded): 3864123130 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
788914382.89	3705.02
788919972.31	147.62
789914265.73	3355.11
789919169.91	147.62
790914152.21	2928.66
790917780.69	98.41
790926213.11	147.62
791914051.45	3588.38
791920892.88	147.62
792913932.46	2660.76
793913809.83	2624.31
793927031.63	147.62
794913725.47	3017.96
795913602.84	2425.67
796246223.43	98.41
796250939.90	147.62
796913474.74	3181.98
796918493.74	96.59
796922257.08	96.59
796925459.10	147.62
797913404.96	3648.52
797919067.28	147.62
798913285.98	3245.76
798918343.24	147.62
799913166.99	2912.26
799925196.91	147.62
800913068.05	3633.94
800919975.09	147.62
801912967.29	2651.65
802912835.55	2726.37
802925896.96	182.24
803912753.01	2999.73
804912624.91	2032.02
805912513.21	1995.57
806912401.52	2376.46
807912289.82	1999.22
808912194.53	1980.99
809912081.01	1966.41
810911965.67	1973.70
811911870.37	1990.10
812911753.21	1971.88
813911643.34	1968.23
814911542.57	1980.99
815911429.05	1950.01
816911321.00	1944.54
817911207.48	2321.79
818911101.26	3847.17
819910995.03	1955.48
820910881.51	1964.59
821910777.10	1960.94
822910667.23	1955.48
823910566.47	1979.17
824910462.06	1968.23
825910346.72	1948.19
826910236.84	1964.59
827910130.61	1951.83
828910024.39	2422.02
829909909.04	1940.90
830909804.64	1966.41
831909689.30	1959.12
832909577.60	1942.72
833909475.02	1957.30
834909363.32	1968.23
835909262.56	1957.30
836909150.86	1970.06
837909039.16	1953.65
838908934.76	1944.54
839908821.24	2340.01
840908722.30	1966.41
841908619.72	1951.83
842908500.73	1948.19
843908390.86	1957.30
844908277.34	1964.59
845908171.11	1942.72
846908055.77	1953.65
847907962.29	1968.23
848907846.95	1942.72
849907731.61	1971.88
850907632.67	2321.79
851907515.51	1939.07
852907409.28	1950.01
853907313.99	1975.52
854907195.00	1946.36
855907096.06	1964.59
856906978.90	1962.77
857906870.85	1962.77
858906764.62	1980.99
859906651.10	1962.77
860906555.80	1960.94
861906434.99	2299.92
862906334.23	1953.65
863906229.83	1957.30
864906118.13	1942.72
865906004.61	1953.65
866905889.27	2236.13
867905784.86	2555.06
868905678.63	3900.02
869905565.12	2199.68
870905460.71	2502.21
871905350.83	2305.39
872905242.78	2401.97
873905132.91	2318.14
874905024.86	1966.41
875904920.45	1975.52
876904814.22	1980.99
877904700.70	1950.01
878904594.47	1990.10
879904490.07	1964.59
880904385.66	1942.72
881904270.32	1966.41
882904167.74	1957.30
883904056.04	2316.32
884903944.34	1966.41
885903841.76	1966.41
886903726.42	1946.36
887903614.72	1957.30
888903501.20	1960.94
889903404.09	1964.59
890903299.68	1939.07
891903180.69	1979.17
892903078.11	1966.41
893902962.77	1950.01
894902854.72	3511.84
895902759.42	2079.40
896902645.90	1951.83
897902539.67	1960.94
898902429.80	1964.59
899902312.64	1957.30
900902199.12	1975.52
901902103.82	1953.65
902901999.42	1960.94
903901889.54	1942.72
904901774.20	1964.59
905901657.04	2323.61
906901554.45	1948.19
907901457.34	1966.41
908901342.00	1966.41
909901237.59	1942.72
910901135.00	1955.48
911901019.66	1968.23
912900906.14	1970.06
913900794.45	1946.36
914900695.51	1971.88
915900572.88	1968.23
916900472.12	2309.03
917900367.71	1966.41
918900250.55	3881.79
919900142.49	1942.72
920900050.85	1957.30
921899926.39	2126.79
922899823.81	2011.97
923899717.58	2001.04
924899611.35	1980.99
925899497.83	1968.23
926899384.31	1960.94
927899287.19	2429.31
928899168.21	1966.41
929899063.80	1955.48
930898961.22	1971.88
931898849.52	1966.41
932898745.12	2008.33
933898622.48	1973.70
934898525.37	1964.59
935898408.20	1951.83
936898301.97	1966.41
937898197.57	1962.77
938898089.52	2323.61
939897985.11	1979.17
940897869.77	1979.17
941897767.18	1942.72
942897651.84	1948.19
943897543.79	1984.64
944897433.92	1955.48
945897320.40	1951.83
946897214.17	1971.88
947897115.23	1979.17
948896999.89	1950.01
949896891.84	2312.67
950896778.32	1968.23
951896677.56	1951.83
952896573.15	1964.59
953896455.99	1973.70
954896358.87	1940.90
955896241.71	1968.23
956896139.12	1970.06
957896027.43	1953.65
958895912.08	1957.30
959895811.32	1968.23
960895697.80	2312.67
961895595.22	1951.83
962895488.99	1964.59
963895370.00	1960.94
964895272.89	1955.48
965895157.55	1979.17
966895054.96	1964.59
967894950.56	1957.30
968894837.04	3663.10
969894719.87	1964.59
970894613.64	1966.41
971894509.24	2436.60
972894408.48	1966.41
972896385.82	3460.81
973894289.49	2312.67
974894186.91	1950.01
975894067.92	1968.23
976893965.34	1970.06
977893866.40	1953.65
978893751.06	1964.59
979893633.89	1971.88
980893534.95	1960.94
981893425.08	1973.70
982893317.03	2341.83
983893207.15	1957.30
984893106.39	1977.35
985892989.23	1964.59
986892884.82	1959.12
987892774.95	1955.48
988892659.61	1970.06
989892547.91	1980.99
990892447.15	1959.12
991589837.96	94.77
991591425.30	98.41
991595702.57	145.80
991892268.02	3134.59
991914889.95	145.80
992892241.98	3879.97
992898201.35	147.62
993892137.57	3961.98
993897231.29	147.62
994892016.76	3056.23
994904281.78	145.80
995891917.82	4809.42
995898850.38	145.80
996891813.42	2753.70
997891685.32	2686.27
997904980.01	147.62
998891595.49	2974.22
999891480.15	1991.93
1000891377.57	1951.83
1001891260.40	2004.68
1002891146.89	2008.33
1003891035.19	1951.83
1004890928.96	2394.68
1005890822.73	1959.12
1006890711.03	1946.36
1007890601.16	1982.81
1008890489.46	1957.30
1009890375.95	1950.01
1010890280.65	1968.23
1011890178.07	1960.94
1012890070.02	1946.36
1013889958.32	1957.30
1014889844.80	1964.59
1015889740.39	2319.96
1016889621.41	1950.01
1017889513.36	1960.94
1018889418.06	3745.11
1019889297.25	1971.88
1020889187.38	1968.23
1021889082.97	1971.88
1022888973.10	3220.25
1023888868.69	4011.19
1024888755.17	1988.28
1025888648.94	1948.19
1026888551.83	2431.13
1027888432.84	1962.77
1028888326.61	1957.30
1029888213.09	1964.59
1030888106.86	1971.88
1031887995.17	1959.12
1032887896.23	1971.88
1033887773.60	9830.23
1034887685.59	2496.74
1035887572.07	1939.07
1036887465.84	1959.12
1037887343.21	2358.24
1038887238.81	1942.72
1039887123.47	1960.94
1040887028.17	1960.94
1041886907.36	1946.36
1042886808.42	2061.18
1043886689.44	1968.23
1044886588.68	1957.30
1045886487.91	1948.19
1046886378.04	1964.59
1047886259.05	1959.12
1048886160.11	2294.45
