0_MainRank-Duration_s,0_MainRank-Bandwidth_Gb/s
1.752e-06,0.004567514
1.659e-06,0.004820729
1.741e-06,0.004596381
1.803e-06,0.00443828
1.727e-06,0.00463231
1.687e-06,0.004743552
1.656e-06,0.004832377
1.81e-06,0.00441989
3.195e-06,0.002504304
1.741e-06,0.00459506
1.734e-06,0.00461361
2.836e-06,0.002821372
1.725e-06,0.004637681
1.702e-06,0.004698972
1.658e-06,0.004825091
1.648e-06,0.004852897
1.762e-06,0.004541584
1.646e-06,0.004860268
1.735e-06,0.004609623
1.876e-06,0.004264392
1.824e-06,0.004385965
1.724e-06,0.004639026
1.65e-06,0.004848485
1.657e-06,0.004828002
1.673e-06,0.004783258
1.776e-06,0.004504505
1.675e-06,0.004777546
1.723e-06,0.004643064
1.796e-06,0.004454343
1.678e-06,0.00476616
1.716e-06,0.004662005
1.694e-06,0.004723944
1.829e-06,0.004373975
4.752e-06,0.001683502
7.263e-06,0.001101473
6.649e-06,0.001203188
7.159e-06,0.001117475
9.231e-06,0.000866645
5.147e-06,0.001554153
7.403e-06,0.001080643
1.533e-05,0.000521853
1.8132e-05,0.000441209
1.1955e-05,0.000669148
1.0298e-05,0.00077685
1.2006e-05,0.000666333
5.357e-06,0.001493234
1.944e-06,0.004115227
1.903e-06,0.004204994
1.815e-06,0.004407714
9.6e-06,0.000833377
1.2186e-05,0.000656491
2.4795e-05,0.000322652
2.0888e-05,0.000382986
3.0903e-05,0.000258875
5.8125e-05,0.000137636
2.3095e-05,0.000346403
3.735e-05,0.00021419
3.0524e-05,0.000262089
2.86e-05,0.00027972
3.4179e-05,0.000234058
8.529e-06,0.000938031
1.5756e-05,0.000507743
1.1982e-05,0.00066764
1.823e-06,0.004389575
4.119e-06,0.001941983
5.089e-06,0.001572018
2.109e-06,0.003793267
2.683e-06,0.002981737
8.597e-06,0.000930611
1.6718e-05,0.000478526
3.2354e-05,0.000247265
3.5212e-05,0.000227195
4.2689e-05,0.000187402
4.046e-05,0.000197726
1.6293e-05,0.000491008
1.5675e-05,0.000510383
2.9317e-05,0.000272875
3.861e-05,0.000207198
2.8231e-05,0.000283381
2.2317e-05,0.000358463
1.5997e-05,0.000500109
7.949e-06,0.001006416
5.741e-06,0.001393364
6.708e-06,0.001192606
1.6937e-05,0.000472325
3.6347e-05,0.000220104
1.6862e-05,0.000474426
1.0247e-05,0.000780754
5.043e-06,0.001586515
4.731e-06,0.001691153
1.6241e-05,0.000492565
2.4344e-05,0.000328616
1.2979e-05,0.000616404
2.2029e-05,0.000363158
3.0988e-05,0.00025816
2.1428e-05,0.000373343
1.1185e-05,0.000715276
8.142e-06,0.00098262
1.0172e-05,0.000786473
1.2021e-05,0.000665502
2.45e-05,0.000326537
3.1768e-05,0.000251826
8.417e-06,0.000950457
1.233e-05,0.000648798
1.5408e-05,0.000519211
8.568e-06,0.000933652
1.96e-06,0.004080592
1.791e-06,0.004466778
2.787e-06,0.002870985
4.568e-06,0.001751314
1.806e-06,0.004430905
2.989e-06,0.002676928
2.172e-06,0.003683241
1.756e-06,0.004555809
1.931e-06,0.004144004
3.101e-06,0.002579397
1.679e-06,0.004764741
1.904e-06,0.004201681
5.097e-06,0.001569397
8.074e-06,0.000990835
1.0708e-05,0.000747105
7.866e-06,0.001016971
8.61e-06,0.000929152
7.967e-06,0.001004142
4.007e-06,0.001996755
1.99e-06,0.0040201
