0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s
0.000469695,0.000251871,0.00068752,0.000469695
0.000454663,0.000392894,0.000516432,0.000454663
0.000497021,0.000364898,0.000629143,0.000497021
0.000409123,0.000266466,0.000551779,0.000409123
0.00039734,0.000311283,0.000483396,0.00039734
0.000472582,0.000467942,0.000477223,0.000472582
0.000388824,0.00030836,0.000469287,0.000388824
0.00040573,0.000284201,0.000527259,0.00040573
0.000457308,0.000447196,0.000467421,0.000457308
0.000427615,0.000384899,0.000470332,0.000427615
0.000754568,0.000723415,0.00078572,0.000754568
0.000621187,0.000548901,0.000693474,0.000621187
0.000499036,0.00048233,0.000515742,0.000499036
0.000489601,0.000409029,0.000570173,0.000489601
0.000639785,0.000635331,0.000644239,0.000639785
0.000537087,0.00049747,0.000576704,0.000537087
0.000396104,0.000344303,0.000447904,0.000396104
0.000501889,0.000448826,0.000554953,0.000501889
0.000355801,0.000318009,0.000393593,0.000355801
0.000279299,0.000231212,0.000327386,0.000279299
0.000421695,0.000356589,0.000486801,0.000421695
0.000389149,0.000324827,0.000453471,0.000389149
0.000586256,0.000245737,0.000926775,0.000586256
0.001226172,0.001118722,0.001333623,0.001226172
0.000269161,0.000223413,0.000314908,0.000269161
0.000341153,0.000307287,0.000375019,0.000341153
0.00042023,0.000390091,0.000450368,0.00042023
0.000473279,0.000362083,0.000584475,0.000473279
0.000264582,0.000264025,0.00026514,0.000264582
0.000244891,0.000230896,0.000258886,0.000244891
0.000223527,0.000214484,0.000232569,0.000223527
0.000248848,0.000240206,0.00025749,0.000248848
0.000219914,0.00021146,0.000228368,0.000219914
0.000216377,0.000216204,0.00021655,0.000216377
0.00022107,0.000220056,0.000222084,0.00022107
0.000206269,0.000194715,0.000217822,0.000206269
0.000215385,0.000210735,0.000220035,0.000215385
0.000171726,0.000158592,0.000184859,0.000171726
0.000203567,0.000174229,0.000232905,0.000203567
0.000199459,0.000198907,0.000200011,0.000199459
0.000186221,0.000177306,0.000195136,0.000186221
0.000195506,0.000183171,0.000207841,0.000195506
0.000214275,0.000174625,0.000253924,0.000214275
0.000157027,0.000150613,0.00016344,0.000157027
0.000223724,0.000181878,0.00026557,0.000223724
0.000160182,0.000142611,0.000177753,0.000160182
0.000196641,0.00018332,0.000209962,0.000196641
0.000150403,0.000139884,0.000160923,0.000150403
0.000197216,0.000165597,0.000228835,0.000197216
0.000211672,0.000196349,0.000226996,0.000211672
0.000199578,0.000198102,0.000201054,0.000199578
0.000213925,0.000177197,0.000250653,0.000213925
0.000160067,0.000149931,0.000170203,0.000160067
0.000149377,0.000137438,0.000161317,0.000149377
0.000217026,0.000179691,0.000254361,0.000217026
0.000180567,0.000154524,0.00020661,0.000180567
0.000206593,0.000181895,0.000231292,0.000206593
0.000225665,0.000185845,0.000265485,0.000225665
0.000262239,0.00024737,0.000277109,0.000262239
0.000100443,9.96e-05,0.000101287,0.000100443
9.9929e-05,9.9805e-05,0.000100054,9.9929e-05
9.9297e-05,9.9095e-05,9.9499e-05,9.9297e-05
9.9365e-05,9.9048e-05,9.9683e-05,9.9365e-05
9.956e-05,9.9486e-05,9.9634e-05,9.956e-05
0.000100065,9.9991e-05,0.000100138,0.000100065
0.000100018,9.9749e-05,0.000100287,0.000100018
0.000100106,9.9466e-05,0.000100746,0.000100106
9.9679e-05,9.9225e-05,0.000100132,9.9679e-05
9.9616e-05,9.9305e-05,9.9927e-05,9.9616e-05
0.000100279,0.000100168,0.000100389,0.000100279
0.00010023,9.9362e-05,0.000101098,0.00010023
9.9713e-05,9.9304e-05,0.000100122,9.9713e-05
0.000100256,0.000100161,0.000100352,0.000100256
9.9334e-05,9.9127e-05,9.9542e-05,9.9334e-05
9.9663e-05,9.9164e-05,0.000100163,9.9663e-05
9.9444e-05,9.9413e-05,9.9475e-05,9.9444e-05
0.000100374,0.000100315,0.000100432,0.000100374
9.9746e-05,9.9473e-05,0.000100019,9.9746e-05
0.000115112,9.9673e-05,0.00013055,0.000115112
9.9779e-05,9.9471e-05,0.000100087,9.9779e-05
9.9479e-05,9.8971e-05,9.9987e-05,9.9479e-05
0.000100149,9.9761e-05,0.000100536,0.000100149
0.000100392,0.000100371,0.000100412,0.000100392
9.9521e-05,9.9034e-05,0.000100008,9.9521e-05
0.000100249,9.9807e-05,0.000100691,0.000100249
9.9579e-05,9.9311e-05,9.9848e-05,9.9579e-05
0.000100504,9.9978e-05,0.000101029,0.000100504
