0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s
1.2042e-05,1.603e-06,8.7756e-05,2.22e-06
1.9854e-05,1.46e-06,0.000124233,2.694e-06
7.6112e-05,1.5e-06,0.001523204,2.202e-06
0.000304832,3.79e-07,0.002247003,0.00014607
4.5268e-05,4.9e-07,0.000244506,2.87e-06
5.9861e-05,1.65e-06,0.000304469,6.749e-06
2.5107e-05,1.677e-06,0.000167732,2.565e-06
4.795e-05,2.79e-07,0.000228679,1.4535e-05
2.3149e-05,3.49e-07,0.000261872,2.132e-06
2.4348e-05,1.596e-06,0.000261476,2.865e-06
4.2221e-05,1.641e-06,0.000350263,2.382e-06
7.7522e-05,2.84e-07,0.000337105,5.0202e-05
2.6349e-05,1.64e-06,0.000193766,2.554e-06
4.0258e-05,3.18e-07,0.000198003,2.226e-06
3.7007e-05,1.637e-06,0.000212036,2.274e-06
6.6636e-05,3.58e-07,0.000310133,3.11e-06
1.4811e-05,1.641e-06,0.000226821,2.172e-06
1.2639e-05,1.506e-06,0.00016473,2.16e-06
9.472e-06,1.682e-06,8.9589e-05,2.153e-06
1.0539e-05,3.12e-07,5.0808e-05,2.098e-06
9.062e-06,1.408e-06,0.00015274,2e-06
7.243e-06,1.553e-06,0.000107058,2.085e-06
2.741e-06,1.498e-06,1.7391e-05,2.106e-06
5.389e-06,3.09e-07,2.91e-05,2.246e-06
4.203e-06,1.646e-06,4.5657e-05,2.115e-06
3.37e-06,1.65e-06,1.8769e-05,1.996e-06
3.887e-06,1.316e-06,3.2238e-05,2.029e-06
7.145e-06,3.06e-07,5.5233e-05,2.263e-06
5.346e-06,1.588e-06,7.2853e-05,1.996e-06
1.0886e-05,1.307e-06,0.000168264,2.106e-06
8.887e-06,1.449e-06,0.000148445,2.082e-06
1.1923e-05,3.49e-07,0.000123662,2.145e-06
4.876e-06,1.7e-06,4.0743e-05,2.009e-06
6.951e-06,5.88e-07,8.5082e-05,2.029e-06
1.1962e-05,3.11e-07,0.000201466,2.056e-06
7.431e-06,3.34e-07,7.0853e-05,2.125e-06
2.139e-06,1.518e-06,3.151e-06,2.118e-06
2.234e-06,1.627e-06,6.229e-06,1.921e-06
2.877e-06,1.724e-06,2.0025e-05,1.974e-06
8.558e-06,3.04e-07,7.9613e-05,2.164e-06
6.171e-06,1.772e-06,9.7907e-05,2.013e-06
1.36e-05,4.06e-07,9.6551e-05,2.075e-06
3.66e-06,1.41e-06,2.3882e-05,2.029e-06
1.9897e-05,3.08e-07,0.00018302,2.115e-06
6.639e-06,1.675e-06,0.000116173,2.059e-06
3.979e-06,1.521e-06,4.8412e-05,1.951e-06
2.828e-06,1.235e-06,2.2435e-05,2.006e-06
5.379e-06,3.93e-07,4.5394e-05,1.93e-06
5.198e-06,1.572e-06,8.118e-05,1.963e-06
5.642e-06,1.647e-06,8.1141e-05,2.056e-06
2.175e-06,1.628e-06,3.858e-06,1.988e-06
2.429e-06,3.93e-07,7.256e-06,2.109e-06
2.031e-06,1.389e-06,2.956e-06,2.034e-06
2.445e-06,3.36e-07,8.076e-06,1.954e-06
2.275e-06,3.2e-07,6.61e-06,1.994e-06
2.601e-06,3.11e-07,6.799e-06,2.169e-06
2.804e-06,3.21e-07,1.3332e-05,1.966e-06
