0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s
1.8388e-05,1.685e-06,0.000126408,2.14e-06
3.2642e-05,2.86e-07,0.000117195,3.5713e-05
1.387e-05,1.651e-06,0.000121255,2.072e-06
1.6506e-05,6.03e-07,0.000105425,2.249e-06
1.4003e-05,1.694e-06,0.00013733,2.235e-06
4.0211e-05,3.7e-07,0.000273811,2.0243e-05
2.4855e-05,1.641e-06,0.000175932,2.331e-06
2.3994e-05,3.57e-07,0.000191813,2.13e-06
3.3168e-05,2.94e-07,0.000210775,2.404e-06
9.7934e-05,3.04e-07,0.000289611,1.9533e-05
3.0363e-05,1.539e-06,0.000190288,2.853e-06
4.7194e-05,1.081e-06,0.000164983,1.7658e-05
4.961e-05,1.919e-06,0.000187725,1.411e-05
6.8147e-05,3.27e-07,0.000245385,4.8287e-05
5.251e-05,1.806e-06,0.000249211,2.7162e-05
5.2559e-05,6.58e-07,0.000254645,3.058e-05
5.283e-05,1.693e-06,0.000228741,2.8866e-05
7.9219e-05,2.92e-07,0.000246362,5.8987e-05
4.9812e-05,1.713e-06,0.00021519,1.5549e-05
3.6207e-05,1.222e-06,0.000176997,2.584e-06
4.0709e-05,1.786e-06,0.000191621,2.354e-06
6.9768e-05,2.96e-07,0.000257826,5.9154e-05
3.9397e-05,1.673e-06,0.000158089,2.69e-06
3.532e-05,1.674e-06,0.000168162,1.9368e-05
3.6906e-05,1.738e-06,0.000147599,2.638e-06
4.2071e-05,3.34e-07,0.000182813,7.44e-06
6.712e-06,8.46e-07,7.4837e-05,2.203e-06
6.725e-06,1.447e-06,9.2281e-05,2.231e-06
8.189e-06,1.366e-06,0.000129587,2.145e-06
1.563e-05,2.97e-07,5.6948e-05,2.475e-06
7.434e-06,1.685e-06,5.5751e-05,2.143e-06
6.019e-06,1.556e-06,4.6181e-05,2.091e-06
4.043e-06,1.661e-06,3.2508e-05,2.039e-06
1.0383e-05,3.11e-07,5.9876e-05,3.433e-06
1.1016e-05,1.682e-06,0.000104396,2.073e-06
3.914e-06,1.615e-06,4.9506e-05,1.927e-06
4.791e-06,1.638e-06,4.1134e-05,2.09e-06
1.5338e-05,3.09e-07,9.2837e-05,5.151e-06
8.53e-06,1.645e-06,4.7674e-05,2.037e-06
9.253e-06,1.707e-06,6.1516e-05,2.151e-06
1.3587e-05,3.8e-07,9.642e-05,2.074e-06
1.6664e-05,2.99e-07,7.389e-05,2.26e-06
1.0952e-05,3.02e-07,7.4472e-05,2.13e-06
1.4873e-05,3.78e-07,0.000110095,2.289e-06
1.7824e-05,3.48e-07,0.000119856,2.138e-06
5.23e-05,3.1e-07,0.000187019,2.662e-06
1.5706e-05,3.74e-07,7.5909e-05,2.114e-06
1.221e-05,3.56e-07,6.6176e-05,2.165e-06
1.1754e-05,3.6e-07,7.0393e-05,1.99e-06
2.1002e-05,3.01e-07,0.000175262,2.589e-06
1.1353e-05,1.491e-06,8.209e-05,2.226e-06
5.529e-06,1.469e-06,6.2835e-05,2.052e-06
4.655e-06,1.469e-06,6.5953e-05,2.123e-06
1.5194e-05,2.68e-07,0.000106249,1.977e-06
4.447e-06,1.579e-06,2.3348e-05,2.079e-06
6.39e-06,3.6e-07,5.3408e-05,2.08e-06
7.193e-06,1.43e-06,9.7093e-05,2.075e-06
1.9858e-05,2.98e-07,0.000164626,2.129e-06
1.1349e-05,3.6e-07,9.3108e-05,2.059e-06
8.917e-06,4.11e-07,9.0424e-05,1.982e-06
7.758e-06,3.57e-07,7.6713e-05,2.213e-06
1.6173e-05,2.86e-07,9.1603e-05,3.169e-06
8.632e-06,1.584e-06,8.0844e-05,2.069e-06
5.472e-06,1.842e-06,7.9447e-05,2.11e-06
